provincia ;canton;area;asiste_a_educacion;numero_total_personas;ninguno;guarderia;educación_inicial;alfabetizacion;educacion_general_basica;bachillerato;postbachillerato;educacion_tecnica;educacion_superior;maestria;doctorado
Loja;Gonzanamá;Rural;No asiste;7.521;713;46;48;39;4.355;1.685;15;117;444;54;5
Loja;Macará;Total Macará;Total Macará;18.215;1.016;468;302;105;8.840;5.151;73;288;1.789;170;13
Loja;Macará;Total Macará;Asiste;5.449;;378;284;4;3.217;963;16;75;508;4;
Loja;Macará;Total Macará;No asiste;12.766;1.016;90;18;101;5.623;4.188;57;213;1.281;166;13
Loja;Macará;Urbana;Total Urbana;12.454;667;280;262;24;5.291;3.868;66;243;1.580;161;12
Loja;Macará;Urbana;Asiste;3.889;;228;248;2;2.236;678;13;60;420;4;
Loja;Macará;Urbana;No asiste;8.565;667;52;14;22;3.055;3.190;53;183;1.160;157;12
Loja;Macará;Rural;Total Rural;5.761;349;188;40;81;3.549;1.283;7;45;209;9;1
Loja;Macará;Rural;Asiste;1.560;;150;36;2;981;285;3;15;88;;
Loja;Macará;Rural;No asiste;4.201;349;38;4;79;2.568;998;4;30;121;9;1
Loja;Paltas;Total Paltas;Total Paltas;22.841;1.264;559;241;225;11.540;5.972;45;318;2.450;208;19
Loja;Paltas;Total Paltas;Asiste;6.907;;420;225;6;3.921;1.339;9;104;877;6;
Loja;Paltas;Total Paltas;No asiste;15.934;1.264;139;16;219;7.619;4.633;36;214;1.573;202;19
Loja;Paltas;Urbana;Total Urbana;7.831;284;195;140;14;2.656;2.379;28;196;1.744;179;16
Loja;Paltas;Urbana;Asiste;2.913;;170;135;4;1.485;517;6;50;542;4;
Loja;Paltas;Urbana;No asiste;4.918;284;25;5;10;1.171;1.862;22;146;1.202;175;16
Loja;Paltas;Rural;Total Rural;15.010;980;364;101;211;8.884;3.593;17;122;706;29;3
Loja;Paltas;Rural;Asiste;3.994;;250;90;2;2.436;822;3;54;335;2;
Loja;Paltas;Rural;No asiste;11.016;980;114;11;209;6.448;2.771;14;68;371;27;3
Loja;Puyango;Total Puyango;Total Puyango;16.257;1.249;135;224;141;8.413;3.953;102;252;1.650;132;6
Loja;Puyango;Total Puyango;Asiste;4.586;;97;174;1;2.690;864;12;65;681;2;
Loja;Puyango;Total Puyango;No asiste;11.671;1.249;38;50;140;5.723;3.089;90;187;969;130;6
Loja;Puyango;Urbana;Total Urbana;5.981;343;66;134;26;2.440;1.586;90;158;1.038;97;3
Loja;Puyango;Urbana;Asiste;1.957;;47;120;;1.066;320;9;36;357;2;
Loja;Puyango;Urbana;No asiste;4.024;343;19;14;26;1.374;1.266;81;122;681;95;3
Loja;Puyango;Rural;Total Rural;10.276;906;69;90;115;5.973;2.367;12;94;612;35;3
Loja;Puyango;Rural;Asiste;2.629;;50;54;1;1.624;544;3;29;324;;
Loja;Puyango;Rural;No asiste;7.647;906;19;36;114;4.349;1.823;9;65;288;35;3
Loja;Saraguro;Total Saraguro;Total Saraguro;29.111;2.939;658;550;170;15.380;6.184;19;355;2.571;272;13
Loja;Saraguro;Total Saraguro;Asiste;9.223;;529;454;3;5.465;1.723;10;85;948;5;1
Loja;Saraguro;Total Saraguro;No asiste;19.888;2.939;129;96;167;9.915;4.461;9;270;1.623;267;12
Loja;Saraguro;Urbana;Total Urbana;4.656;301;80;88;20;1.637;1.161;9;151;1.044;158;7
Loja;Saraguro;Urbana;Asiste;1.603;;67;77;1;811;312;4;26;302;2;1
Loja;Saraguro;Urbana;No asiste;3.053;301;13;11;19;826;849;5;125;742;156;6
Loja;Saraguro;Rural;Total Rural;24.455;2.638;578;462;150;13.743;5.023;10;204;1.527;114;6
Loja;Saraguro;Rural;Asiste;7.620;;462;377;2;4.654;1.411;6;59;646;3;
Loja;Saraguro;Rural;No asiste;16.835;2.638;116;85;148;9.089;3.612;4;145;881;111;6
Loja;Sozoranga;Total Sozoranga;Total Sozoranga;6.970;444;246;41;44;4.323;1.418;23;72;333;25;1
Loja;Sozoranga;Total Sozoranga;Asiste;1.915;;166;34;1;1.217;367;6;20;103;1;
Loja;Sozoranga;Total Sozoranga;No asiste;5.055;444;80;7;43;3.106;1.051;17;52;230;24;1
Loja;Sozoranga;Urbana;Total Urbana;908;26;30;15;1;365;244;10;29;172;16;
Loja;Sozoranga;Urbana;Asiste;276;;25;15;;147;50;1;3;34;1;
Loja;Sozoranga;Urbana;No asiste;632;26;5;;1;218;194;9;26;138;15;
Loja;Sozoranga;Rural;Total Rural;6.062;418;216;26;43;3.958;1.174;13;43;161;9;1
Loja;Sozoranga;Rural;Asiste;1.639;;141;19;1;1.070;317;5;17;69;;
Loja;Sozoranga;Rural;No asiste;4.423;418;75;7;42;2.888;857;8;26;92;9;1
Loja;Zapotillo;Total Zapotillo;Total Zapotillo;14.571;1.183;459;224;30;7.862;3.448;17;114;1.143;87;4
Loja;Zapotillo;Total Zapotillo;Asiste;4.226;;333;191;1;2.535;717;9;25;414;;1
Loja;Zapotillo;Total Zapotillo;No asiste;10.345;1.183;126;33;29;5.327;2.731;8;89;729;87;3
Loja;Zapotillo;Urbana;Total Urbana;3.599;225;96;85;5;1.403;1.041;6;54;620;62;2
Loja;Zapotillo;Urbana;Asiste;1.201;;85;78;1;618;199;5;7;207;;1
Loja;Zapotillo;Urbana;No asiste;2.398;225;11;7;4;785;842;1;47;413;62;1
Loja;Zapotillo;Rural;Total Rural;10.972;958;363;139;25;6.459;2.407;11;60;523;25;2
Loja;Zapotillo;Rural;Asiste;3.025;;248;113;;1.917;518;4;18;207;;
Loja;Zapotillo;Rural;No asiste;7.947;958;115;26;25;4.542;1.889;7;42;316;25;2
Loja;Pindal;Total Pindal;Total Pindal;10.409;1.063;171;118;32;5.326;2.728;19;113;786;50;3
Loja;Pindal;Total Pindal;Asiste;3.065;;132;82;;1.819;632;5;30;364;1;
Loja;Pindal;Total Pindal;No asiste;7.344;1.063;39;36;32;3.507;2.096;14;83;422;49;3
Loja;Pindal;Urbana;Total Urbana;2.660;226;18;48;2;995;902;14;53;372;30;
Loja;Pindal;Urbana;Asiste;885;;16;44;;495;180;3;9;137;1;
Loja;Pindal;Urbana;No asiste;1.775;226;2;4;2;500;722;11;44;235;29;
Loja;Pindal;Rural;Total Rural;7.749;837;153;70;30;4.331;1.826;5;60;414;20;3
Loja;Pindal;Rural;Asiste;2.180;;116;38;;1.324;452;2;21;227;;
Loja;Pindal;Rural;No asiste;5.569;837;37;32;30;3.007;1.374;3;39;187;20;3
Loja;Quilanga;Total Quilanga;Total Quilanga;3.971;252;72;42;9;2.218;886;7;71;389;21;4
Loja;Quilanga;Total Quilanga;Asiste;1.019;;31;26;;581;217;2;21;140;1;
Loja;Quilanga;Total Quilanga;No asiste;2.952;252;41;16;9;1.637;669;5;50;249;20;4
Loja;Quilanga;Urbana;Total Urbana;934;26;23;15;1;404;217;5;21;206;14;2
Loja;Quilanga;Urbana;Asiste;272;;9;12;;141;43;1;4;61;1;
Loja;Quilanga;Urbana;No asiste;662;26;14;3;1;263;174;4;17;145;13;2
Loja;Quilanga;Rural;Total Rural;3.037;226;49;27;8;1.814;669;2;50;183;7;2
Loja;Quilanga;Rural;Asiste;747;;22;14;;440;174;1;17;79;;
Loja;Quilanga;Rural;No asiste;2.290;226;27;13;8;1.374;495;1;33;104;7;2
Loja;Olmedo;Total Olmedo;Total Olmedo;4.164;310;83;43;12;2.286;1.028;5;56;309;30;2
Loja;Olmedo;Total Olmedo;Asiste;1.071;;67;35;1;555;249;;12;152;;
Loja;Olmedo;Total Olmedo;No asiste;3.093;310;16;8;11;1.731;779;5;44;157;30;2
Loja;Olmedo;Urbana;Total Urbana;745;23;28;17;;279;203;3;26;146;18;2
Loja;Olmedo;Urbana;Asiste;237;;24;14;;103;33;;6;57;;
Loja;Olmedo;Urbana;No asiste;508;23;4;3;;176;170;3;20;89;18;2
Loja;Olmedo;Rural;Total Rural;3.419;287;55;26;12;2.007;825;2;30;163;12;
Loja;Olmedo;Rural;Asiste;834;;43;21;1;452;216;;6;95;;
Loja;Olmedo;Rural;No asiste;2.585;287;12;5;11;1.555;609;2;24;68;12;
Los Ríos;Total Los Ríos;Total Los Ríos;Total Los Ríos;898.652;90.439;12.586;16.483;1.725;399.510;243.863;4.218;11.454;109.838;8.003;533
Los Ríos;Total Los Ríos;Urbana;Total Urbana;485.223;42.202;5.770;9.475;639;188.774;138.320;2.802;7.813;82.296;6.689;443
Los Ríos;Total Los Ríos;Urbana;Asiste;161.511;;4.712;8.475;61;86.312;26.859;571;2.249;32.119;141;12
Los Ríos;Total Los Ríos;Urbana;No asiste;323.712;42.202;1.058;1.000;578;102.462;111.461;2.231;5.564;50.177;6.548;431
Los Ríos;Total Los Ríos;Rural;Total Rural;413.429;48.237;6.816;7.008;1.086;210.736;105.543;1.416;3.641;27.542;1.314;90
Los Ríos;Total Los Ríos;Rural;Asiste;122.153;;5.582;6.052;47;73.862;21.400;423;1.393;13.345;43;6
Los Ríos;Total Los Ríos;Rural;No asiste;291.276;48.237;1.234;956;1.039;136.874;84.143;993;2.248;14.197;1.271;84
Los Ríos;Babahoyo;Total Babahoyo;Total Babahoyo;178.509;15.048;2.401;3.803;260;71.524;45.688;747;3.138;32.828;2.905;167
Los Ríos;Babahoyo;Total Babahoyo;Asiste;59.194;;2.028;3.385;8;29.623;9.547;258;898;13.385;55;7
Los Ríos;Babahoyo;Total Babahoyo;No asiste;119.315;15.048;373;418;252;41.901;36.141;489;2.240;19.443;2.850;160
Los Ríos;Babahoyo;Urbana;Total Urbana;98.251;7.123;741;2.031;64;33.121;25.488;472;2.258;24.512;2.316;125
Los Ríos;Babahoyo;Urbana;Asiste;32.828;;621;1.803;2;15.468;5.096;122;591;9.079;42;4
Los Ríos;Babahoyo;Urbana;No asiste;65.423;7.123;120;228;62;17.653;20.392;350;1.667;15.433;2.274;121
Los Ríos;Babahoyo;Rural;Total Rural;80.258;7.925;1.660;1.772;196;38.403;20.200;275;880;8.316;589;42
Los Ríos;Babahoyo;Rural;Asiste;26.366;;1.407;1.582;6;14.155;4.451;136;307;4.306;13;3
Los Ríos;Babahoyo;Rural;No asiste;53.892;7.925;253;190;190;24.248;15.749;139;573;4.010;576;39
Los Ríos;Baba;Total Baba;Total Baba;45.296;4.829;1.278;812;153;23.411;11.463;207;392;2.647;103;1
Los Ríos;Baba;Total Baba;Asiste;13.338;;1.056;721;5;7.943;2.329;26;162;1.095;1;
Los Ríos;Baba;Total Baba;No asiste;31.958;4.829;222;91;148;15.468;9.134;181;230;1.552;102;1
Los Ríos;Baba;Urbana;Total Urbana;6.746;583;146;150;14;2.830;1.940;92;101;840;49;1
Los Ríos;Baba;Urbana;Asiste;2.180;;122;133;2;1.233;386;1;47;256;;
Los Ríos;Baba;Urbana;No asiste;4.566;583;24;17;12;1.597;1.554;91;54;584;49;1
Los Ríos;Baba;Rural;Total Rural;38.550;4.246;1.132;662;139;20.581;9.523;115;291;1.807;54;
Los Ríos;Baba;Rural;Asiste;11.158;;934;588;3;6.710;1.943;25;115;839;1;
Los Ríos;Baba;Rural;No asiste;27.392;4.246;198;74;136;13.871;7.580;90;176;968;53;
Los Ríos;Montalvo;Total Montalvo;Total Montalvo;28.354;2.245;304;537;76;11.561;8.668;113;692;3.883;263;12
Los Ríos;Montalvo;Total Montalvo;Asiste;8.667;;279;492;13;4.690;1.601;57;153;1.376;6;
Los Ríos;Montalvo;Total Montalvo;No asiste;19.687;2.245;25;45;63;6.871;7.067;56;539;2.507;257;12
Los Ríos;Montalvo;Urbana;Total Urbana;16.248;1.111;204;317;40;5.765;5.278;76;518;2.714;215;10
Los Ríos;Montalvo;Urbana;Asiste;5.287;;190;291;12;2.725;1.001;36;109;919;4;
Los Ríos;Montalvo;Urbana;No asiste;10.961;1.111;14;26;28;3.040;4.277;40;409;1.795;211;10
Los Ríos;Montalvo;Rural;Total Rural;12.106;1.134;100;220;36;5.796;3.390;37;174;1.169;48;2
Los Ríos;Montalvo;Rural;Asiste;3.380;;89;201;1;1.965;600;21;44;457;2;
Los Ríos;Montalvo;Rural;No asiste;8.726;1.134;11;19;35;3.831;2.790;16;130;712;46;2
Los Ríos;Puebloviejo;Total Puebloviejo;Total Puebloviejo;40.961;4.459;892;743;120;19.138;10.954;166;419;3.908;159;3
Los Ríos;Puebloviejo;Total Puebloviejo;Asiste;13.065;;709;643;7;7.609;2.191;44;143;1.715;4;
Los Ríos;Puebloviejo;Total Puebloviejo;No asiste;27.896;4.459;183;100;113;11.529;8.763;122;276;2.193;155;3
Los Ríos;Puebloviejo;Urbana;Total Urbana;9.646;836;261;214;14;4.208;2.720;46;106;1.173;67;1
Los Ríos;Puebloviejo;Urbana;Asiste;3.159;;222;195;1;1.771;498;12;49;410;1;
Los Ríos;Puebloviejo;Urbana;No asiste;6.487;836;39;19;13;2.437;2.222;34;57;763;66;1
Los Ríos;Puebloviejo;Rural;Total Rural;31.315;3.623;631;529;106;14.930;8.234;120;313;2.735;92;2
Los Ríos;Puebloviejo;Rural;Asiste;9.906;;487;448;6;5.838;1.693;32;94;1.305;3;
Los Ríos;Puebloviejo;Rural;No asiste;21.409;3.623;144;81;100;9.092;6.541;88;219;1.430;89;2
Los Ríos;Quevedo;Total Quevedo;Total Quevedo;206.008;18.903;1.940;3.671;216;83.879;57.944;668;2.806;33.103;2.636;242
Los Ríos;Quevedo;Total Quevedo;Asiste;68.256;;1.561;3.247;16;37.345;11.054;123;874;13.960;68;8
Los Ríos;Quevedo;Total Quevedo;No asiste;137.752;18.903;379;424;200;46.534;46.890;545;1.932;19.143;2.568;234
Los Ríos;Quevedo;Urbana;Total Urbana;177.792;15.759;1.623;3.213;191;70.100;50.324;625;2.482;30.724;2.520;231
Los Ríos;Quevedo;Urbana;Asiste;59.780;;1.306;2.862;14;32.217;9.628;113;763;12.809;62;6
Los Ríos;Quevedo;Urbana;No asiste;118.012;15.759;317;351;177;37.883;40.696;512;1.719;17.915;2.458;225
Los Ríos;Quevedo;Rural;Total Rural;28.216;3.144;317;458;25;13.779;7.620;43;324;2.379;116;11
Los Ríos;Quevedo;Rural;Asiste;8.476;;255;385;2;5.128;1.426;10;111;1.151;6;2
Los Ríos;Quevedo;Rural;No asiste;19.740;3.144;62;73;23;8.651;6.194;33;213;1.228;110;9
Los Ríos;Urdaneta;Total Urdaneta;Total Urdaneta;33.151;3.595;446;599;59;15.805;9.297;101;262;2.830;151;6
Los Ríos;Urdaneta;Total Urdaneta;Asiste;9.533;;350;504;6;5.851;1.682;36;93;1.010;1;
Los Ríos;Urdaneta;Total Urdaneta;No asiste;23.618;3.595;96;95;53;9.954;7.615;65;169;1.820;150;6
Los Ríos;Urdaneta;Urbana;Total Urbana;7.216;639;104;148;5;2.946;2.260;27;88;945;54;
Los Ríos;Urdaneta;Urbana;Asiste;2.185;;91;134;1;1.225;398;12;25;299;;
Los Ríos;Urdaneta;Urbana;No asiste;5.031;639;13;14;4;1.721;1.862;15;63;646;54;
Los Ríos;Urdaneta;Rural;Total Rural;25.935;2.956;342;451;54;12.859;7.037;74;174;1.885;97;6
Los Ríos;Urdaneta;Rural;Asiste;7.348;;259;370;5;4.626;1.284;24;68;711;1;
Los Ríos;Urdaneta;Rural;No asiste;18.587;2.956;83;81;49;8.233;5.753;50;106;1.174;96;6
Los Ríos;Ventanas;Total Ventanas;Total Ventanas;73.211;7.604;777;1.136;121;32.370;21.264;772;912;7.711;517;27
Los Ríos;Ventanas;Total Ventanas;Asiste;22.437;;562;982;4;12.929;4.489;90;283;3.086;11;1
Los Ríos;Ventanas;Total Ventanas;No asiste;50.774;7.604;215;154;117;19.441;16.775;682;629;4.625;506;26
Los Ríos;Ventanas;Urbana;Total Urbana;41.531;4.029;385;755;37;16.278;12.613;544;650;5.775;443;22
Los Ríos;Ventanas;Urbana;Asiste;13.438;;275;678;1;7.331;2.661;55;198;2.229;9;1
Los Ríos;Ventanas;Urbana;No asiste;28.093;4.029;110;77;36;8.947;9.952;489;452;3.546;434;21
Los Ríos;Ventanas;Rural;Total Rural;31.680;3.575;392;381;84;16.092;8.651;228;262;1.936;74;5
Los Ríos;Ventanas;Rural;Asiste;8.999;;287;304;3;5.598;1.828;35;85;857;2;
Los Ríos;Ventanas;Rural;No asiste;22.681;3.575;105;77;81;10.494;6.823;193;177;1.079;72;5
Los Ríos;Vinces;Total Vinces;Total Vinces;80.909;8.985;1.022;1.375;217;37.418;22.669;379;738;7.638;444;24
Los Ríos;Vinces;Total Vinces;Asiste;23.488;;833;1.247;14;13.858;4.284;74;272;2.895;11;
Los Ríos;Vinces;Total Vinces;No asiste;57.421;8.985;189;128;203;23.560;18.385;305;466;4.743;433;24
Los Ríos;Vinces;Urbana;Total Urbana;35.064;2.808;556;689;61;13.389;10.837;143;455;5.716;390;20
Los Ríos;Vinces;Urbana;Asiste;11.318;;440;633;10;6.175;1.925;36;136;1.954;9;
Los Ríos;Vinces;Urbana;No asiste;23.746;2.808;116;56;51;7.214;8.912;107;319;3.762;381;20
Los Ríos;Vinces;Rural;Total Rural;45.845;6.177;466;686;156;24.029;11.832;236;283;1.922;54;4
Los Ríos;Vinces;Rural;Asiste;12.170;;393;614;4;7.683;2.359;38;136;941;2;
Los Ríos;Vinces;Rural;No asiste;33.675;6.177;73;72;152;16.346;9.473;198;147;981;52;4
Los Ríos;Palenque;Total Palenque;Total Palenque;24.838;3.317;643;315;59;13.403;5.837;139;172;903;48;2
Los Ríos;Palenque;Total Palenque;Asiste;6.911;;494;269;5;4.640;1.052;47;34;366;4;
Los Ríos;Palenque;Total Palenque;No asiste;17.927;3.317;149;46;54;8.763;4.785;92;138;537;44;2
Los Ríos;Palenque;Urbana;Total Urbana;7.258;747;254;150;15;3.332;1.948;105;110;557;39;1
Los Ríos;Palenque;Urbana;Asiste;2.363;;200;141;1;1.422;346;27;24;200;2;
Los Ríos;Palenque;Urbana;No asiste;4.895;747;54;9;14;1.910;1.602;78;86;357;37;1
Los Ríos;Palenque;Rural;Total Rural;17.580;2.570;389;165;44;10.071;3.889;34;62;346;9;1
Los Ríos;Palenque;Rural;Asiste;4.548;;294;128;4;3.218;706;20;10;166;2;
Los Ríos;Palenque;Rural;No asiste;13.032;2.570;95;37;40;6.853;3.183;14;52;180;7;1
Los Ríos;Buena Fe;Total Buena Fe;Total Buena Fe;74.410;8.219;1.232;1.484;183;34.261;21.116;392;826;6.314;366;17
Los Ríos;Buena Fe;Total Buena Fe;Asiste;24.724;;1.014;1.310;15;15.018;4.129;107;395;2.728;8;
Los Ríos;Buena Fe;Total Buena Fe;No asiste;49.686;8.219;218;174;168;19.243;16.987;285;431;3.586;358;17
Los Ríos;Buena Fe;Urbana;Total Urbana;46.779;4.658;879;953;109;20.320;13.949;295;406;4.875;320;15
Los Ríos;Buena Fe;Urbana;Asiste;16.110;;725;858;10;9.515;2.693;68;144;2.091;6;
Los Ríos;Buena Fe;Urbana;No asiste;30.669;4.658;154;95;99;10.805;11.256;227;262;2.784;314;15
Los Ríos;Buena Fe;Rural;Total Rural;27.631;3.561;353;531;74;13.941;7.167;97;420;1.439;46;2
Los Ríos;Buena Fe;Rural;Asiste;8.614;;289;452;5;5.503;1.436;39;251;637;2;
Los Ríos;Buena Fe;Rural;No asiste;19.017;3.561;64;79;69;8.438;5.731;58;169;802;44;2
Los Ríos;Valencia;Total Valencia;Total Valencia;51.509;6.083;809;1.064;95;25.171;13.035;157;648;4.222;211;14
Los Ríos;Valencia;Total Valencia;Asiste;16.523;;703;932;4;9.712;2.723;76;183;2.185;5;
Los Ríos;Valencia;Total Valencia;No asiste;34.986;6.083;106;132;91;15.459;10.312;81;465;2.037;206;14
Los Ríos;Valencia;Urbana;Total Urbana;22.996;2.340;404;512;46;9.834;6.365;108;466;2.735;176;10
Los Ríos;Valencia;Urbana;Asiste;7.907;;344;445;3;4.359;1.331;63;121;1.237;4;
Los Ríos;Valencia;Urbana;No asiste;15.089;2.340;60;67;43;5.475;5.034;45;345;1.498;172;10
Los Ríos;Valencia;Rural;Total Rural;28.513;3.743;405;552;49;15.337;6.670;49;182;1.487;35;4
Los Ríos;Valencia;Rural;Asiste;8.616;;359;487;1;5.353;1.392;13;62;948;1;
Los Ríos;Valencia;Rural;No asiste;19.897;3.743;46;65;48;9.984;5.278;36;120;539;34;4
Los Ríos;Mocache;Total Mocache;Total Mocache;42.026;4.790;686;694;124;22.066;10.351;339;295;2.537;129;15
Los Ríos;Mocache;Total Mocache;Asiste;12.063;;581;585;11;7.525;2.080;46;110;1.119;4;2
Los Ríos;Mocache;Total Mocache;No asiste;29.963;4.790;105;109;113;14.541;8.271;293;185;1.418;125;13
Los Ríos;Mocache;Urbana;Total Urbana;9.535;904;155;223;27;4.129;2.648;247;100;1.037;59;6
Los Ríos;Mocache;Urbana;Asiste;3.070;;131;198;4;1.782;531;22;26;374;1;1
Los Ríos;Mocache;Urbana;No asiste;6.465;904;24;25;23;2.347;2.117;225;74;663;58;5
Los Ríos;Mocache;Rural;Total Rural;32.491;3.886;531;471;97;17.937;7.703;92;195;1.500;70;9
Los Ríos;Mocache;Rural;Asiste;8.993;;450;387;7;5.743;1.549;24;84;745;3;1
Los Ríos;Mocache;Rural;No asiste;23.498;3.886;81;84;90;12.194;6.154;68;111;755;67;8
Los Ríos;Quinsaloma;Total Quinsaloma;Total Quinsaloma;19.470;2.362;156;250;42;9.503;5.577;38;154;1.314;71;3
Los Ríos;Quinsaloma;Total Quinsaloma;Asiste;5.465;;124;210;;3.431;1.098;10;42;544;6;
Los Ríos;Quinsaloma;Total Quinsaloma;No asiste;14.005;2.362;32;40;42;6.072;4.479;28;112;770;65;3
Los Ríos;Quinsaloma;Urbana;Total Urbana;6.161;665;58;120;16;2.522;1.950;22;73;693;41;1
Los Ríos;Quinsaloma;Urbana;Asiste;1.886;;45;104;;1.089;365;4;16;262;1;
Los Ríos;Quinsaloma;Urbana;No asiste;4.275;665;13;16;16;1.433;1.585;18;57;431;40;1
Los Ríos;Quinsaloma;Rural;Total Rural;13.309;1.697;98;130;26;6.981;3.627;16;81;621;30;2
Los Ríos;Quinsaloma;Rural;Asiste;3.579;;79;106;;2.342;733;6;26;282;5;
Los Ríos;Quinsaloma;Rural;No asiste;9.730;1.697;19;24;26;4.639;2.894;10;55;339;25;2
Manabí;Total Manabí;Total Manabí;Total Manabí;1.592.840;134.413;31.828;38.345;4.270;680.112;416.131;5.852;16.018;241.704;22.546;1.621
Manabí;Total Manabí;Urbana;Total Urbana;924.325;64.069;14.589;22.413;1.362;335.284;253.779;4.027;12.364;194.595;20.328;1.515
Manabí;Total Manabí;Urbana;Asiste;307.390;;12.595;20.458;112;154.962;50.233;1.033;3.589;64.091;283;34
Manabí;Total Manabí;Urbana;No asiste;616.935;64.069;1.994;1.955;1.250;180.322;203.546;2.994;8.775;130.504;20.045;1.481
Manabí;Total Manabí;Rural;Total Rural;668.515;70.344;17.239;15.932;2.908;344.828;162.352;1.825;3.654;47.109;2.218;106
Manabí;Total Manabí;Rural;Asiste;206.663;;15.251;13.835;148;118.252;35.560;522;1.285;21.760;46;4
Manabí;Total Manabí;Rural;No asiste;461.852;70.344;1.988;2.097;2.760;226.576;126.792;1.303;2.369;25.349;2.172;102
Manabí;Portoviejo;Total Portoviejo;Total Portoviejo;322.925;20.131;5.763;8.224;526;117.067;85.578;1.447;4.550;70.306;8.628;705
Manabí;Portoviejo;Total Portoviejo;Asiste;105.586;;5.269;7.536;19;51.058;16.766;314;1.359;23.128;124;13
Manabí;Portoviejo;Total Portoviejo;No asiste;217.339;20.131;494;688;507;66.009;68.812;1.133;3.191;47.178;8.504;692
Manabí;Portoviejo;Urbana;Total Urbana;244.129;14.213;3.923;6.223;292;79.275;63.864;1.305;3.950;62.188;8.204;692
Manabí;Portoviejo;Urbana;Asiste;81.281;;3.596;5.728;5;38.220;12.535;256;1.163;19.650;115;13
Manabí;Portoviejo;Urbana;No asiste;162.848;14.213;327;495;287;41.055;51.329;1.049;2.787;42.538;8.089;679
Manabí;Portoviejo;Rural;Total Rural;78.796;5.918;1.840;2.001;234;37.792;21.714;142;600;8.118;424;13
Manabí;Portoviejo;Rural;Asiste;24.305;;1.673;1.808;14;12.838;4.231;58;196;3.478;9;
Manabí;Portoviejo;Rural;No asiste;54.491;5.918;167;193;220;24.954;17.483;84;404;4.640;415;13
Manabí;Bolívar;Total Bolívar;Total Bolívar;41.827;3.321;748;1.058;99;19.183;10.604;81;286;5.804;589;54
Manabí;Bolívar;Total Bolívar;Asiste;13.349;;673;962;17;7.006;2.211;28;87;2.354;7;4
Manabí;Bolívar;Total Bolívar;No asiste;28.478;3.321;75;96;82;12.177;8.393;53;199;3.450;582;50
Manabí;Bolívar;Urbana;Total Urbana;20.011;1.258;317;552;34;7.192;5.596;49;206;4.255;506;46
Manabí;Bolívar;Urbana;Asiste;6.830;;283;529;10;3.258;1.105;15;58;1.562;6;4
Manabí;Bolívar;Urbana;No asiste;13.181;1.258;34;23;24;3.934;4.491;34;148;2.693;500;42
Manabí;Bolívar;Rural;Total Rural;21.816;2.063;431;506;65;11.991;5.008;32;80;1.549;83;8
Manabí;Bolívar;Rural;Asiste;6.519;;390;433;7;3.748;1.106;13;29;792;1;
Manabí;Bolívar;Rural;No asiste;15.297;2.063;41;73;58;8.243;3.902;19;51;757;82;8
Manabí;Chone;Total Chone;Total Chone;128.166;12.015;2.395;3.226;386;54.645;32.174;438;1.276;19.715;1.791;105
Manabí;Chone;Total Chone;Asiste;40.461;;2.154;2.813;18;21.266;6.925;152;367;6.750;15;1
Manabí;Chone;Total Chone;No asiste;87.705;12.015;241;413;368;33.379;25.249;286;909;12.965;1.776;104
Manabí;Chone;Urbana;Total Urbana;54.629;3.825;763;1.411;101;17.539;14.470;216;876;13.865;1.474;89
Manabí;Chone;Urbana;Asiste;17.985;;669;1.255;8;8.623;2.929;85;226;4.177;12;1
Manabí;Chone;Urbana;No asiste;36.644;3.825;94;156;93;8.916;11.541;131;650;9.688;1.462;88
Manabí;Chone;Rural;Total Rural;73.537;8.190;1.632;1.815;285;37.106;17.704;222;400;5.850;317;16
Manabí;Chone;Rural;Asiste;22.476;;1.485;1.558;10;12.643;3.996;67;141;2.573;3;
Manabí;Chone;Rural;No asiste;51.061;8.190;147;257;275;24.463;13.708;155;259;3.277;314;16
Manabí;El Carmen;Total El Carmen;Total El Carmen;120.936;12.639;2.303;2.660;246;57.851;32.568;317;868;10.585;849;50
Manabí;El Carmen;Total El Carmen;Asiste;38.864;;2.004;2.364;17;22.935;7.010;105;350;4.067;11;1
Manabí;El Carmen;Total El Carmen;No asiste;82.072;12.639;299;296;229;34.916;25.558;212;518;6.518;838;49
Manabí;El Carmen;Urbana;Total Urbana;52.366;4.884;1.094;1.264;100;21.449;14.921;205;506;7.220;684;39
Manabí;El Carmen;Urbana;Asiste;18.403;;957;1.149;16;10.095;3.338;72;194;2.572;10;
Manabí;El Carmen;Urbana;No asiste;33.963;4.884;137;115;84;11.354;11.583;133;312;4.648;674;39
Manabí;El Carmen;Rural;Total Rural;68.570;7.755;1.209;1.396;146;36.402;17.647;112;362;3.365;165;11
Manabí;El Carmen;Rural;Asiste;20.461;;1.047;1.215;1;12.840;3.672;33;156;1.495;1;1
Manabí;El Carmen;Rural;No asiste;48.109;7.755;162;181;145;23.562;13.975;79;206;1.870;164;10
Manabí;Flavio Alfaro;Total Flavio Alfaro;Total Flavio Alfaro;26.415;3.083;517;661;111;13.019;6.684;68;158;1.996;117;1
Manabí;Flavio Alfaro;Total Flavio Alfaro;Asiste;8.382;;467;568;19;4.832;1.410;31;61;991;3;
Manabí;Flavio Alfaro;Total Flavio Alfaro;No asiste;18.033;3.083;50;93;92;8.187;5.274;37;97;1.005;114;1
